Number,Description - Long,Lifecycle Phase,Rev,Overall Compliance,Subclass
CL63R98482,"Printed Insert, Instruction Sheet, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers,Various Reorder Nos.",Active,1,,Part
CL63R9869,"(COV) Printed Insert, IN-ROOM Sharps Disposal Units with Flap Doors, Various Reorder Nos.",Discontinued,3,,Part
CL63R9869A,"(COV) Printed Insert, IN-ROOM Sharps Disposal Units with Flap Doors, Various Reorder Nos.",Active,0,,Part
CL63R9870A,"(Cov) Printed Insert, Instruction Sheet,  IN-ROOM Sharps Lids",Discontinued,2,,Part
CL63R9870B,"(Cov) Printed Insert, Instruction Sheet,  IN-ROOM Sharps Lids",Active,0,,Part
CL63R9875,"(Cov) Printed Insert, Instruction Sheet, Sharps Containers",Discontinued,1,,Part
CL63R9875A,"(Cov) Printed Insert, Instruction Sheet, Sharps Containers",Discontinued,1,,Part
CL63R9876,"(Cov) Printed Insert, Instruction Sheet, Rotor Lid, Sharps Containers",Discontinued,1,,Part
CL63R9876A,"(COV) Printed Insert, Instruction Sheet, Rotor Lid, Sharps Containers",Discontinued,2,,Part
CL63R9876B,"(COV) Printed Insert, Instruction Sheet, Rotor Lid, Sharps Containers",Active,0,,Part
CL63R9881,"(COV) Printed Insert, Instruction Sheet, Lid, Biohazard Container, Various Reorder Nos.",Discontinued,1,,Part
CL63R9881A,"(COV) Printed Insert, Instruction Sheet, Lid, Biohazard Container, Various Reorder Nos.",Active,0,,Part
CL63R9882A,"(COV) Printed Insert, Sharps and Chemotherepy Waste Disposal Containers",Discontinued,2,,Part
CL63R9918A,"(COV) Printed Insert, CHEMOSAFETY Waste Disposal Container",Discontinued,2,,Part
CL63R9918B,"(COV) Printed Insert, CHEMOSAFETY Waste Disposal Container",Discontinued,1,,Part
CL63R9960,"(COV) Printed Insert, Sharps Disposal System, Various Reorder Nos",Discontinued,1,,Part
CL63R9960A,"(COV) Printed Insert, Sharps Disposal System, Various Reorder Nos",Active,0,,Part
CL63R9962,"(COV) Printed Insert, Sharps Disposal Containers with Rotor Openings and AUTODROP Funnels",Discontinued,1,,Part
CL63R9962A,"(COV) Printed Insert, Sharps Disposal Containers with Rotor Openings and AUTODROP Funnels",Active,0,,Part
CL63RR98416,Insert Sheet for 1 and 2 Gallon Private Label,Active,0,,Part
CM285153315,"Folding Carton, Purple Enteral Feeding Syringe, 10mL, Reorder Number 410S",Discontinued,2,,Part
CM285153491,"Unit Box, 12mL LK Softpack PTD32ECT",Discontinued,1,,Part
CM285160000,Unit Box 12ml Soft Pack printed - Covidien,Active,1,,Part
CM285160002,Unit Box 12ml Needle Soft Pack Covidien,Active,1,Compliant,Part
CM285160036,"Folding Carton, Printed, 12mL Eccentric Syringe",Discontinued,2,,Part
CM285160041,Unit Box 412mL Printed Part No. CM285160041,Discontinued,2,,Part
CM285160042,Unit Box 12ml Vet-Pack Covidien,Discontinued,2,,Part
CM285160043,Unit Box 12ml Combo Covidien,Discontinued,2,,Part
CM285160043A,Unit Box 12ml Combo Covidien,Discontinued,1,,Part
CM285160044,Unit Box 12ml Large Combo Covidien,Discontinued,2,,Part
CM285160044A,Unit Box 12ml Large Combo Covidien,Discontinued,1,,Part
CM285160048,Unit Box 12ml SR Covidien,Discontinued,2,,Part
CM285160048A,Unit Box 12ml SR Covidien,Discontinued,1,,Part
CM285160049,"Folding Carton, Printed, MONOJECT Syringe, 12mL, Eccentric Luer Tip, Reorder No. 8881512860",Discontinued,2,,Part
CM285160049A,"Folding Carton, Printed, MONOJECT Syringe, 12mL, Eccentric Luer Tip, Reorder No. 8881512860",Discontinued,1,,Part
CM285160050,"Folding Carton, Printed, MONOJECT Syringe, 12mL Luer Lock Tip, Reorder No. 8881512878",Discontinued,2,,Part
CM285160050A,"Folding Carton, Printed, MONOJECT Syringe, 12mL Luer Lock Tip, Reorder No. 8881512878",Discontinued,1,,Part
CM285160071,Corrugated Carton Smartip 12ml Covidien,Active,1,,Part
CM285160072,Unit box 12ml Blunt Tip IV Access Covidien,Discontinued,2,,Part
CM285160073,Unit Box 12ml blunt tip IV Access Soft Pack - Covidien,Discontinued,2,,Part
CM285160092,Unit Box 10ml Amber Oral Med CE Mark,Discontinued,2,,Part
CM285160093,Unit Box CE Mark 907S-O Med 10ml,Discontinued,2,,Part
CM285350000,Print Mat 1181200555 12 SR Soft Pack - Covidien,Discontinued,2,,Part
CM285350001,Print Mat 1181200777 12 LK Soft Pack - Covidien,Discontinued,2,,Part
CM285350002,Print mat 1181218100 12ml 18x1 softpack,Discontinued,2,,Part
CM285350003,Print Mat 1181220112 12ml 20 X 1 1/2 Softpack,Discontinued,2,,Part
CM285350004,Print Mat 1181221100 12ml 21 X 1 Softpack,Discontinued,2,,Part
CM285350005,Print Mat 1181221112 12ml 21 X 1 1/2 Softpack,Discontinued,2,,Part
CM285350026,Print Mat 8881540122 w/SMRTP Cannula Softpack,Discontinued,2,,Part
CM285350027,Print Mat 8881541208 12ml Blunt Tip IV Access Softpcak,Discontinued,2,,Part
ENGINEERING,Engineering Run,Active,0,,Part
EXP0112_28CM,"Silicone Fluid, DOW CORNING Number 360, 12500 centiStokes",Active,1,,Part
EXP0120,"Silicone Fluid, Dow Corning 360, Medical Grade, 350 cSt",Active,1,Exempt,Part
EXP1005_28CM,"Ink, Black, Cartridge, 2049",Active,1,,Part
EXP1020,"Ink, Black, CAPEX 7600",Active,4,Non-Compliant,Part
EXP5001,"Case Sealing Tape, 3 Inch, Clear, Reinforced",Active,4,,Part
EXP5006,"TAPE 3"" KRAFT PLAIN 90#",Active,0,,Part
EXP5011,"Case Sealing Tape, 3 Inch, Clear",Active,1,Compliant,Part
EXP5013,"Container, Closing Tape 2 Inch, Clear Polreylene",Active,1,Compliant,Part
EXP5050,"Printing Ribbon, Black, 8.66 Inch x 1476 Feet",Active,1,,Part
EXP6001,"Rubber Band, No. 12",Active,1,Compliant,Part
EXP6020,GLUE 34-25 HM160,Active,3,,Part
EXP6021,"Ink Cartridge, Imaje No. 9154E-4",Active,1,,Part
EXP6026,"INK, MAKE-UP, FLUID, MARKEM-IMAJE P/N 8188",Active,2,Compliant,Part
EXP6027,"Ink Thinner, Apex Pad Printer, Capex 76F",Active,1,Non-Compliant,Part
EXP6028,"Bell Mark Intelli Jet Ink Cartridge, IJ5007",Discontinued,2,,Part
EXP6029,"Thermal Transfer Ribbon, General Wax, 4.33 Inch",Active,1,,Part
EXP6030,"Blue Ink, PMS2945, Bell Mark, IK5933",Discontinued,2,,Part
EXP6031,"Green Ink, PMS354, Bell Mark, IK6052",Discontinued,2,,Part
EXP6032,"nk Ink, PMS1905, Bell Mark, IK6053",Active,3,,Part
EXP6033,"Lavender Ink, PMS271, Bell Mark, IK6054",Discontinued,2,,Part
EXPERIMENTAL,Experimental Run,Active,0,,Part
HP108048,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Discontinued,2,,Part
OP8909,1.5QT. SHARPS CONTAINER - 20,Discontinued,1,,Part
OP8963,2 GA UNIVERSAL BRKT W/LOCK   5,Discontinued,1,,Part
OP8984,"BRACKET, 8 GAL. SECURITY     5",Discontinued,1,,Part
OP8991FP,FULL OPEN SHARPS CART        1,Active,0,Compliant,Part
OP8993H,CART FOR BIOMAX WASTE CONT.  1,Discontinued,1,,Part
PT00004155,"Label, Plain White, for the 1170/1155 Lot Gun, Marteck P/ FT-708",Active,0,,Part
PT00004226,"Ink, Cartridge, Black, Markem-Image P/N 9175-9",Active,1,,Part
PT00005149,"(COV) Printed Insert, RCRA Waste Disposal Containers, Various Reorder Nos.",Active,0,,Part
PT00005151,"(COV) Product Label, RCRA Hazardous Waste, Various Reorder Nos.",Discontinued,1,,Part
PT00005153,"(COV) Printed Insert, RCRA 5 Quart Waste Disposal Containers, Various Reorder Nos.",Active,0,,Part
PT00005525,"Corrugated Case, Unprinted, Generic, 23 Inch x 13.625 Inch x 32 Inch",Active,0,,Part
PT00005527,"Corrugated Partition, Unassembled, Unprinted, 16.625 Inch x 13.5 Inch",Active,0,,Part
PT00006610,"(COV) Printed Product Label, Generic, Biohazard Waste Disposal Container, UDI Compliant",Active,0,,Part
PT00006635,"COV) Product Label, Printed, Biohazard, Sharps Containers, Various Reorder Nos. UDI Compliant",Active,0,,Part
PT00006643,"(COV) Printed Product Label, Generic, Biohazard Waste Disposal Container SHARPS-A-GATOR, Various Reorder Nos. UDI Compliant",Active,0,,Part
PT00006646,"(COV) Product Label, Printed, Generic, CHEMOSAFETY Waste Disposal Container UDI Compliant",Active,0,,Part
PT00006648,"(COV) Product Label, Printed, Generic, Waste Disposal Container, Various Reorder Nos. UDI Compliant",Preliminary,,,Part
PT00006649,"(COV) Product Label, BIOMAX Regulated Medical Waste Container, Reorder Nos. 8998PG2, 8998SPG2, 8997PG2, 8997SPG2, 8932PG2, and 8936PG2 UDI Compliant",Preliminary,,,Part
PT00006650,"(COV) Product Label, BIOMAX Regulated Medical Waste Container, Reorder Nos. 8998PG2, 8998SPG2, 8997PG2, 8997SPG2, 8932PG2, and 8936PG2 UDI Compliant",Active,0,Compliant,Part
PT00006651,"(COV) Product Label, RCRA Hazardous Waste, Various Reorder Nos. UDI Compliant",Active,0,Compliant,Part
PT00006652,"(COV) Product Label, Printed, 5.0 Inch x 6.75 Inch, PHARMASAFETY Containers, Various Reorder Nos. UDI Compliant",Active,0,Compliant,Part
PT00006653,"Product Label, Printed, CHEMOMAX Regulated Medical Waste Container UDI Compliant",Active,0,Compliant,Part
PT00006654,"(COV) Product Label, Printed, Generic, PHARMASTAR Waste Disposal Container UDI Compliant",Discontinued,1,,Part
PT00006655,"(COV) Product Label, Printed, Canada, CHEMOSAFETY Waste Disposal Container, Various Reorder Nos. UDI Compliant",Active,0,Compliant,Part
PT00006657,"Folding Carton, Printed, MONOJECT 10 mL Oral Syringe, CE Mark, UDI Compliant",Active,0,,Part
PT00006658,"(COV) Printed Product Label, Generic, Biohazard Waste Disposal Container SHARPS-A-GATOR UDI Compliant",Discontinued,1,,Part
PT00006659,"Product Label, Printed, SHARPS-A-GATOR Sharps Collection and Disposal System, UDI Compliant",Active,0,,Part
PT00006660,"(COV) Product Label, Printed, Biohazard, Sharps Container Small Volume,Various Reorder Nos. UDI Compliant",Discontinued,1,,Part
PT00006661,"(COV) Product Label, Printed, Biohazard, French/English, Reorder No. 8506YM UDI Compliant",Active,0,Compliant,Part
PT00006662,"(COV) Printed Product Label, Waste Disposal Container, Reorder No. 8930SA UDI Compliant",Discontinued,1,,Part
PT00006663,"Plastic Bag, Printed, AUTODROP Blood Needle Holder, 10.125 Inch x 15.5 Inch, Reorder No. 1500SA UDI Compliant",Preliminary,,,Part
PT00006664,"(COV) Product Label, Printed, Generic, Biohazard, Waste Disposal Container, Reorder No. 8303BY UDI Compliant",Active,0,Compliant,Part
PT00006666,Print Mat 1181200777 12 LK Soft Pack - Covidien UDI Compliant,Preliminary,,,Part
PT00006667,Print Mat 8881540122 w/SMRTP Cannula Softpack UDI Compliant,Preliminary,,,Part
PT00006671,"(COV) Product Label, Printed, Non-Infectious Glass Waste Disposal Container UDI Compliant",Active,0,Compliant,Part
PT00006672,"Plastic Bag, Printed, AUTODROP Blood Needle Holder System UDI Compliant",Discontinued,1,,Part
PT00006673,"Folding Carton, Printed, KANGAROO Purple Enteral Feeding Syringe, 10mL, UDI Compliant",Active,0,,Part
PT00006674,"(COV)  Blank Label, 3 x1",Active,0,Compliant,Part
PT00006677,"Product Label, Printed, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers,Various Reorder Nos. UDI Compliant",Active,0,Compliant,Part
PT00006678,"Folding Carton, Printed, MONOJECT 12 mL Syringe with Standard Hypodermic Needle, 1 Inch Needle, UDI Compliant",Discontinued,1,,Part
PT00006679,"Folding Carton, Printed, MONOJECT 12 mL Syringe with Standard Hypodermic Needle, 1.5 Inch, UDI Compliant",Discontinued,1,,Part
PT00006680,"Folding Carton, Printed, MONOJECT Syringe IV Access, UDI Compliant",Discontinued,1,,Part
PT00006681,Print Mat 8881541208 12ml Blunt Tip IV Access Softpcak UDI Compliant,Preliminary,,,Part
PT00006682,"Folding Carton, Printed, MONOJECT 10 mL Oral Syringe, Amber, CE Mark, UDI Compliant",Active,0,,Part
PT00006683,Print Mat 1181200555 12 SR Soft Pack - Covidien UDI,Preliminary,,,Part
PT00006684,Print mat 1181218100 12ml 18x1 softpack UDI Compliant,Preliminary,,,Part
PT00006685,Print Mat 1181220112 12ml 20 X 1 1/2 Softpack UDI Compliant,Preliminary,,,Part
PT00006686,Print Mat 1181221100 12ml 21 X 1 Softpack UDI Compliance,Preliminary,,,Part
PT00006687,Print Mat 1181221112 12ml 21 X 1 1/2 Softpack UDI Compliant,Preliminary,,,Part
PT00006688,"COV) Product Label, Universal Pharmaceutical Hazardous Waste PART NO: CL63R4423A UDI Compliant",Active,0,Compliant,Part
PT00007239,"Colorant, Red, Concentrate",Active,0,,Part
PT00007240,"Resin, Linear Low Density Polyethylene (LLDPE), recycled",Active,0,,Part
PT00007241,"Scrap Polypropylene Parts, Containers/Syringes",Active,2,,Part
PT00007623,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Preliminary,,,Part
PT00008981,"Resin, Polypropylene PF 535, ZN 126 VS Avant Catalyst",Active,2,,Part
PT00009482,"Barrel, 12 mL",Discontinued,1,,Part
PT00009962,"Cap, 12 mL, Thinwall, Clear",Active,1,,Part
PT00009994,"Silicone Fluid, DOW CORNING Number 360, 12500 centiStokes",Active,0,Exempt,Part
PT00010070,Unit Box 12 mL Soft Pack printed - Covidien UDI Compliant,Preliminary,,,Part
PT00012105,"Printed Insert, Instruction Sheet, SHARPSAFETY Hinged Lid Sharps Containers, Various Reorder No.",Active,0,,Part
PT00012137,"Printed Insert, Instruction Sheet, SHARPSAFETY Chemotherapy Container and Sharps Container, Various Reorder No.",Active,0,,Part
PT00012138,"Printed Insert, Instruction Sheet, SHARPSAFETY Gasketed Hinged Lid Sharps and Chemotherapy Containers, Various Reorder No.",Active,0,,Part
PT00012247,BIOMAX Foam in Place Lid,Active,0,,Part
PT00012250,"Foam in Place (FIP) Gasketed Lid, Chemotherapy, 12 and 18 Gallon",Active,1,,Part
PT00012251,"Foam in Place (FIP) Gasketed Lid, PharmaSafety, 12/18 Gallon",Active,0,,Part
PT00012252,"Foam in Place (FIP) Gasketed Lid, Slide To[p, 12 and 18 Gallon Container, PGII",Active,1,,Part
PT00012284,"Foam In Place Gasketed Lid, Chemotherapy, 8 Gallon",Active,0,,Part
PT00012285,8 Gallon Slide Top Chemo Lid Foam in Place (FIP),Active,0,,Part
PT00013692,"Gasketed Lid, Single Pass, 8 Gallon",Active,1,,Part
PT00013694,"Gasketed Lid, Hinged, 12 and 18 Gallon Container, PGII",Active,2,,Part
PT00013696,"Gasketed Lid, PharmaSafety, 8 Gallon Container",Active,0,,Part
PT00013699,"Gasketed Lid, PharmaSafety, 12 and 18 Gallon",Active,0,,Part
PT00013702,"Gasketed Lid, Hinged, Chemotherapy, 18 Gallon",Active,2,,Part
PT00013703,"Gasketed Lid, Hinged, 12/18 Gallon",Active,2,,Part
PT00013707,"Gasketed Lid, Hinged, 8 Gallon",Active,0,,Part
PT00014491,"Top Corrugated Insert, Unprinted, 41.125 inch x 14.125 inch",Discontinued,1,,Part
PT00014494,"Bottom Corrugated Insert, Unprinted, 39.6875 inch x 14.125inch",Discontinued,1,,Part
PT00015630,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Eccentric Tip, UDI Compliant",Discontinued,1,,Part
PT00015631,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Curved Tip (412), UDI Compliant",Active,0,,Part
PT00015688,"Folding Carton, Printed, 12 mL Vet-Pack, UDI Compliant",Discontinued,1,,Part
PT00015840,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Regular Tip, UDI Compliant",Active,0,,Part
PT00015856,"Folding Carton, Printed, MONOJECT Syringe, 12 mL, Eccentric Luer Tip, UDI Compliant",Discontinued,1,,Part
PT00015857,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Luer Lock Tip UDI Compliant",Active,0,,Part
PT00016486,12/18 GALLON SLIDE TOP LID,Active,2,,Part
PT00016490,12/18 GAL. HINGED CHEMO LID,Active,5,,Part
PT00016495,"HINGED CHEMO LID, 12 & 18 GAL",Active,5,,Part
PT00016498,WHITE 8 GAL HINGED LID (X9820),Active,3,,Part
PT00016811,LID CHEMOBASE 12/18 GAL(X1363),Active,3,,Part
PT00019097,"Sharps Container, Blue, 18 Gallon",Preliminary,,,Part
PT00019730,Tortuous Door,Active,1,,Part
PT00030058,"Spring, Hook Retainer, Full Open Foot Pedal Cart",Discontinued,1,,Part
PT00031289,Ink Cartridge HP Carton Black Plus IJ5023,Active,0,,Part
PT00033501,"Printed Insert, SHARPS-A-GATOR Sharps Container with Slide Top",Active,0,,Part
PT00033502,Insert Sheet for 2-1/2 and 5 Quart,Active,0,,Part
PT00033969,"Ink, Black, CAPEX 9100 Dense",Active,0,Non-Compliant,Part
PT00033970,"Ink, Black, Bell-Mark IJ1910",Active,0,,Part
PT00033971,"Ink, Solvent X, Black, Bell Mark IJ5030",Active,0,Compliant,Part
PT00033972,"Ink, Black, ColorBond UV SPM V6 PN: 1460566-01LT, Reorder# D-831-0036",Active,1,,Part
PT00034294,"Instructions for Use (IFU) Insert, McKesson Private Label, 8 Gallon, Reorder No. 80-8705",Active,0,,Part
PT00034301,"Label, Printed, Biohazard, McKesson Waste Disposal Container, Reorder No. 047",Active,0,Compliant,Part
PT00034305,"Instructions for Use (IFU) Insert, McKesson, Private Label Phlebotomy Sharps Containers Reorder No. 065",Active,0,,Part
PT00034306,"Label,  Printed, McKesson, Private label, BioHazard Waste Disposal Containers Reorder No. 065",Active,0,Compliant,Part
PT00034375,"Instructions for Use (IFU) Insert, McKesson Private Label, Sharps Containers, Reorder No. 044",Preliminary,,,Part
PT00034377,"Instructions for Use (IFU) Insert, 2 Gallon, McKesson Private Label",Active,0,,Part
PT00034434,"Label, Printed, Product, McKesson Private Label, Reorder No. 80-8705",Discontinued,1,,Part
PT00034764,"Plunger, 12 mL, 3 Lobe Hybrid",Active,0,,Part
PT00035052,"Syringe Assembly, 12 mL, Wide Finger Flange, Bulk Pack",Pilot,0,,Part
PT00044728,1 Slot Unassembled Partition  16.00 Inch X 14.00 Inch,Active,0,,Part
PT00044732,1 Slot Unassembled Partition  16.00 Inch X 20.375 Inch,Active,0,,Part
PT00044733,Corrugated Insert 5.625 Inch X 6.625 Inch,Active,0,,Part
PT00046145,"Label, Printed, Product, McKesson Private Label, Reorder No. 80-8705",Active,0,Compliant,Part
PT00046937,"Overshipper Label, Preprinted with Fisherbrand Logo",Active,0,Compliant,Part
PT00047916,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Regular Tip, 100 Count, UDI Compliant",Preliminary,,,Part
PT00047930,"Product Label, Printed, Fisherbrand (Private Label) 1 Quart Phlebotomy Container, UDI Compliant, Various Reorder Nos.",Active,0,Compliant,Part
PT00047934,"Product Label, Printed, Private Label, Fisherbrand, Biohazard Waste Disposal Containers, Reorder No. 31325410",Active,0,Compliant,Part
PT00048792,3x5 Ziploc bag,Active,0,,Part
PT00049167,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Discontinued,1,,Part
PT00049845,Corrugated Case 14.375? X 13.375? X 23?,Active,0,,Part
PT00049846,Corrugated Pad 14.25? x 23?,Active,0,,Part
PT00050012,"Scored Lid Retention Insert for 18 Gallon Container, Unprinted",Preliminary,,,Part
PT00050783,"Barrel, 12 mL, SR, P5M6K-080, ISO Compliant Tip",Active,0,,Part
PT00052251,"Barrel, 12 mL, SR, P5M6K-080 with Fill Ring",Active,1,,Part
PT00052252,"Molded Component, Barrel, 12 mL Luer Slip  PF535",Discontinued,1,,Part
PT00052518,"(COV) Printed Insert, 1 Quart Transportable Container, Reorder Nos. 8303BY and 8303SA",Active,0,,Part
PT00052701,Liquid Trans Red,Active,2,,Part
PT00053980,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Discontinued,1,,Part
PT00055216,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Active,0,Compliant,Part
PT00055729,"Print Cliché, Biohazard Label for SHARP SAFETY Sharps Container, Black Portion",Active,1,,Part
PT00055730,"Print Cliché, Biohazard Label for SHARP-A-GATOR Sharps Container, Black Portion",Active,1,,Part
PT00059874,"(COV) Printed Product Label, Waste Disposal Container, Reorder No. 8930SA UDI Compliant",Discontinued,1,,Part
PT00062563,Yellow Liquid Colorant,Active,1,,Part
PT00062605,"Print Cliché, Biohazard Label for Sharps Container, Orange Portion",Active,0,,Part
PT00065936,Red Liquid Colorant,Active,1,,Part
PT00065939,Trans Yellow Liquid Colorant,Active,1,,Part
PT00065942,White Liquid Colorant,Active,2,,Part
PT00065943,Blue Liquid Colorant,Active,1,,Part
PT00067912,"Printed Instruction for Use (IFU), Generic, SHARPS-A-GATOR Sharps Container",Active,0,,Part
PT00067913,"Printed Instruction for Use (IFU) , SHARPS-A-GATOR, Sharps Containers with Counterbalance Lid, Various Reorder Nos.",Active,0,,Part
PT00067914,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Hinged Lid with Snap Cap",Active,0,,Part
PT00067915,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Counterbalance Lid",Active,0,,Part
PT00067916,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Hinged Lid",Active,0,,Part
PT00067917,"Printed Instruction for Use (IFU), Universal Pharmaceutical  Waste Disposal Containers, Slide Lid",Active,0,,Part
PT00068683,"Product Label, Printed, Generic, With Fill Line, CHEMOSAFETY Waste Disposal Container, UDI Compliant",Active,0,Compliant,Part
PT00068726,Resin PP Braskem C719-35RNHP,Preliminary,,,Part
PT00068727,Resin PP Equistar XEP-3246,Preliminary,,,Part
PT00068803,"Product Label, Printed, 5.0 Inch x 6.75 Inch, PHARMASAFETY Containers, with fill line Various Reorder Nos. UDI Compliant",Active,0,Compliant,Part
PT00068805,"Product Label, Printed, Generic, SHARP SAFETY Waste Disposal Container UDI Compliant",Active,0,Compliant,Part
PT00068806,"Product Label, Printed, Biohazard, Sharps Container Small Volume,Various Reorder Nos. UDI Compliant",Active,0,Compliant,Part
PT00068808,"Printed Product Label, Waste Disposal Container, Reorder No. 8930SA UDI Compliant",Active,0,Compliant,Part
PT00069525,"Gatorguard, Lid Assembly for 5 Quart",Active,0,,Part
PT00071338,Orange Dot,Preliminary,,,Part
PT00073444,"Collection Container, Blue, 18 Gallon",Active,2,,Part
PT00075579,"Gatorguard, Lid Assembly for 2 Gallon and 3 Gallon",Active,1,,Part
PT00075580,"RCRA Lid Assembly, Black",Active,1,,Part
PT00075593,"Label, Biohazard, Sustainable Technologies 18 Gallon Container",Preliminary,,,Part
PT00077021,"Barrel, 12 mL Amber",Discontinued,1,,Part
PT00080367,"Unit Box, Syringe, 12 mL, Enteral Feed, Amber",Preliminary,,,Part
PT00081770,"Insert Sheet, Printed, Enteral Syringe, Various Reorder No.",Preliminary,,,Part
PT00089213,"Label, Biohazard Used Medical Device",Active,1,Compliant,Part
PT00089214,"Label, No Sharps, No Waste, No Batteries",Active,1,Compliant,Part
PT00093137,"Product Label, Printed, Canada, CHEMOSAFETY Waste Disposal Container, Cardinal Branded Various Reorder Nos.",Preliminary,,,Part
PT00093138,"Printed Product Label, Generic, Biohazard Waste Disposal Container, Cardinal Branded",Preliminary,,,Part
PT00093139,"Product Label, Printed, Biohazard, Sharps Containers, Cardinal Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093140,"Printed Product Label, Generic, Biohazard Waste Disposal Container SHARPS-A-GATOR, Cardinal Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093141,"Product Label, Printed, Generic, CHEMOSAFETY Waste Disposal Container, Cardinal Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093142,"Product Label, BIOMAX Regulated Medical Waste Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093143,"Product Label, RCRA Hazardous Waste, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093144,"Product Label, Printed, PHARMASAFETY Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093145,"Product Label, Printed, CHEMOMAX Regulated Medical Waste Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093146,"Product Label, Printed, Generic, SHARP SAFETY Waste Disposal Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093147,"Product Label, Printed, Canada, CHEMOSAFETY Waste Disposal Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093149,"Product Label, Printed, SHARPS-A-GATOR Sharps Collection and Disposal System, Cardinal Health Branded",Preliminary,,,Part
PT00093150,"Product Label, Printed, Biohazard, Sharps Container Small Volume, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093151,"Product Label, Printed, Biohazard, French/English, Cardinal Health Branded, Reorder No. 8506YM",Preliminary,,,Part
PT00093153,"Printed Product Label, Waste Disposal Container, Cardinal Health Branded, Reorder No. 8930SA",Preliminary,,,Part
PT00093154,"Product Label, Printed, Non-Infectious Glass Waste Disposal Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093155,"Plastic Bag, Printed, AUTODROP Blood Needle Holder System, Cardinal Health Branded, Reorder No. 1510SA",Preliminary,,,Part
PT00093156,"Product Label, Printed, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093157,"Product Label, Universal Pharmaceutical Hazardous Waste, Cardinal Health Brand, Various Reorder Nos.",Preliminary,,,Part
PT00093158,"Product Label, Printed, Generic, Waste Disposal Container, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093162,"Unit Box, Syringe, 12 mL, Enteral Feed, Cardinal Health Branded, Reorder No. 412SE",Preliminary,,,Part
PT00093163,"Unit Box, Syringe, 12 mL, Soft Pack, Cardinal Health Branded, Reorder No. 1181200777",Preliminary,,,Part
PT00093164,"Corrugated Carton, SMARTIP, 12 mL, Cardinal Health Branded, Reorder No. 8881540122",Preliminary,,,Part
PT00093165,"Folding Carton, Printed, MONOJECT 10 mL Oral Syringe, CE Mark, Cardinal Health Branded, Reorder No. 8881907102",Preliminary,,,Part
PT00093166,"Folding Carton, Printed, KANGAROO Purple Enteral Feeding Syringe, 10 mL, Cardinal Health Branded, Reorder No. 410S",Preliminary,,,Part
PT00093167,"Folding Carton, Printed, MONOJECT 10 mL Oral Syringe, Amber, CE Mark, Cardinal Health Branded, Reorder No. 8881907003",Preliminary,,,Part
PT00093168,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Curved Tip (412), Cardinal Health Branded, Reorder No. 8881412012",Active,1,,Part
PT00093169,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Regular Tip, Cardinal Health Branded, Reorder No. 8881512852",Active,1,,Part
PT00093170,"Folding Carton, Printed, MONOJECT 12 mL Syringe, Luer Lock Tip, Cardinal Health Branded, Reorder No. 8881512878",Active,1,,Part
PT00093179,"Instructions for Use (IFU), Sharps Container, 30 Gallon, Cardinal Health Branded, Reorder No. 8930SA",Preliminary,,,Part
PT00093180,"Printed Insert, Assembly and Usage Instructions, Cardinal Health Branded, Reorder No. 8964",Preliminary,,,Part
PT00093181,"Printed Insert, Instruction Sheet, PHARMASAFETY Containers, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
PT00093182,"Printed Insert, Instruction Sheet, AUTODROP Holder, Cardinal Health Branded, Various Reorder Nos.",Preliminary,,,Part
